im looking for a moderately priced restaurant that serves;inform 
any part of town;inform 
bistro food;inform 
is there a moderately priced restaurant that serves british food;confirm 
yes;affirm 
could i get their phone number;request 
thank you good bye;thankyou 
moderately priced restaurant in the south part of town;inform 
any;inform 
address;request 
code;null 
postcode;request 
thank you goodbye;thankyou 
cheap;inform 
mediterranean;inform 
phone number;request 
phone;request 
goodbye;bye 
im looking for a restaurant that serves seafood;inform 
seafood;inform 
can i get the address and phone number;request 
hello welcome to the cambridge system;null 
east;inform 
expensive;inform 
any type;inform 
is there anything else;reqalts 
could i have their phone number and the type of food;request 
type of food;request 
expensive restaurant;inform 
north;inform 
fusion food;inform 
asian oriental;inform 
whats the phone number;request 
restaurant in the north part of town serv;inform 
scottish;inform 
how about french food;reqalts 
i need a restaurant in the north;inform 
part of town that serves chinese food;inform 
um;null 
cheap price range;inform 
i need one in the cheap price range;inform 
well can i get the address and the post code;request 
okay;null 
okay thank you good bye;thankyou 
im looking for am expensive restaurant in the south part;inform 
uh it doesnt matter;inform 
hindi food is okay;inform 
doesnt matter;inform 
no im sorry it should be expensive;negate 
is the anything else;reqalts 
you said expensive;inform 
its expensive;inform 
can i have the address and phone number;request 
what is the post code;request 
noise;null 
im looking;null 
looking for a moderately priced restaurant in the east part of town;inform 
it doesnt matter;inform 
sil;null 
im looking for a cheap restaurant in the east part of town;inform 
what type of food;request 
what is the address;request 
food;inform 
type of food served;request 
thank you;thankyou 
good bye;bye 
a cheap mexican restaurant;inform 
how about a cheap asian oriental restaurant;reqalts 
uh whats the phone number and address please;request 
cheap restaurant;inform 
in the east part of town;inform 
i need a restaurant in the west part of town that serves europ;inform 
european;inform 
could i have the phone number please;request 
i need a restaurant serving crossover food in the west part of town;inform 
how about vietnamese;reqalts 
what about vietnamese;inform 
vietnamese food;inform 
im looking for a restaurant in the center serving greek food;inform 
is it serving french food;confirm 
what is the price range;request 
what is the address and phone number;request 
im looking for a cheap restaurant;inform 
south;inform 
i dont care;inform 
do you have the address;request 
its a type of food;request 
english food center part of town;inform 
british food;inform 
dont care;inform 
thai food;inform 
thai;inform 
uh expensive restaurant in the south;inform 
im looking for corsica food;inform 
im looking for gastropub food;inform 
i am looking for gastropub food;inform 
no im looking for gastropub food;negate 
gastropub food;inform 
care;null 
european restaurant;inform 
any part;inform 
any more;reqalts 
cough;null 
christmas food;inform 
indian food;inform 
moderate price in south;inform 
the south;inform 
anything else;reqalts 
west;inform 
in the south;inform 
european food;inform 
im looking for a moderately priced restaurant that serves turkish food;inform 
can i get the address;request 
mexican food;inform 
whats the address;request 
i want to find a restaurant in the south part of town;inform 
polynesian food;inform 
how about portuguese;reqalts 
how about portuguese food;reqalts 
may i have the phone number and address;request 
unintelligible;null 
im looking for venison food cross talk;inform 
cross talk how about gastro pub;reqalts 
how about gastro pub;reqalts 
how about gastro pub type of food;inform 
and the phone number;request 
and the post code;request 
what type of food is this;request 
im looking for a japanese restaurant in the east part;inform 
im looking for an indian restaurant in the;inform 
iam looking for a restaurant in the center;inform 
serve kosher food;inform 
how about italian food;reqalts 
im looking for a restaurant serving;inform 
okay how about italian food;reqalts 
any price range;inform 
what is the phone number;request 
venetian food;inform 
asian oriental food;inform 
any area;inform 
may i;null 
i want to find moderately priced restaurant it should be;inform 
east part of town;inform 
can i get the phone number;request 
the west part of town id like a cheap restaurant;inform 
any kind of food;inform 
are there any other cheap restaurants in the west part of town;reqalts 
is there another restaurant in the west of town;reqalts 
can i get their address;request 
and what kind of food do they have;request 
tv_noise im looking for an expensive restaurant and it should serve tuscan food;inform 
tv_noise any;inform 
can i get tuscan foo;inform 
i dont care tv_noise;inform 
tv_noise im looking for tuscan food;inform 
tuscan food;inform 
tv_noise no;negate 
no dont care;negate 
noise how bout thai;inform 
tv_noise;null 
that food tv_noise;inform 
can i get the address tv_noise;request 
phone number tv_noise;request 
tv_noise thank you goodbye;thankyou 
i want a restaurant in the unintelligible that serves belgium food;inform 
how about korean food;reqalts 
korean;inform 
is it in the center;confirm 
im looking for a cheap restaurant in the west part of;inform 
restaurant;inform 
center;inform 
spanish food;inform 
im moderate priced restaurant in the north part of town;inform 
address and phone number;request 
portuguese food;inform 
area;request 
i want an expensive restaurant in the east part of town;inform 
um what;null 
and what type of whats the phone number;request 
and what type of food does it serve;request 
im looking for a restaurant in the north;inform 
may i have the address please;request 
breath id like to find a moderately priced restaurant in the west part of;inform 
im looking for a moderately priced restaurant in the south;inform 
what is the type of food;request 
im looking for an moderately restaurant and it should be in the south part of town;inform 
danish food in the south part of town;inform 
may i have a phone number and postcode;request 
may i have the postcode;request 
im looking for a restaurant that serves european food;inform 
whats the address phone number and area;request 
and what area;request 
cheap restaurant north part of town;inform 
bye;bye 
